종목코드,종목명,섹터,DT
096770,SK이노베이션,에너지,20230306
010950,S-Oil,에너지,20230306
267250,HD현대,에너지,20230306
078930,GS,에너지,20230306
112610,씨에스윈드,에너지,20230306
006120,SK디스커버리,에너지,20230306
322000,현대에너지솔루션,에너지,20230306
005090,SGC에너지,에너지,20230306
018000,유니슨,에너지,20230306
002960,한국쉘석유,에너지,20230306
126880,제이엔케이히터,에너지,20230306
126720,수산인더스트리,에너지,20230306
270520,지엔원에너지,에너지,20230306
044490,태웅,에너지,20230306
099220,SDN,에너지,20230306
137950,제이씨케미칼,에너지,20230306
046120,오르비텍,에너지,20230306
012320,경동인베스트,에너지,20230306
060900,대한그린파워,에너지,20230306
083650,비에이치아이,에너지,20230306
128820,대성산업,에너지,20230306
014530,극동유화,에너지,20230306
093230,이아이디,에너지,20230306
091090,세원이앤씨,에너지,20230306
024060,흥구석유,에너지,20230306
389260,대명에너지,에너지,20230306
095910,에스에너지,에너지,20230306
013810,스페코,에너지,20230306
038870,에코바이오,에너지,20230306
032980,바이온,에너지,20230306
000440,중앙에너비스,에너지,20230306
043200,파루,에너지,20230306
294630,서남,에너지,20230306
065420,에스아이리소스,에너지,20230306
313760,윌링스,에너지,20230306
051910,LG화학,화학,20230306
086520,에코프로,화학,20230306
003670,포스코케미칼,화학,20230306
009830,한화솔루션,화학,20230306
011170,롯데케미칼,화학,20230306
011780,금호석유,화학,20230306
011790,SKC,화학,20230306
005070,코스모신소재,화학,20230306
014680,한솔케미칼,화학,20230306
010060,OCI,화학,20230306
005420,코스모화학,화학,20230306
298050,효성첨단소재,화학,20230306
001570,금양,화학,20230306
121600,나노신소재,화학,20230306
004000,롯데정밀화학,화학,20230306
285130,SK케미칼,화학,20230306
000210,DL,화학,20230306
383310,에코프로에이치엔,화학,20230306
120110,코오롱인더,화학,20230306
093370,후성,화학,20230306
005950,이수화학,화학,20230306
006650,대한유화,화학,20230306
005690,파미셀,화학,20230306
178920,PI첨단소재,화학,20230306
069260,TKG휴켐스,화학,20230306
000070,삼양홀딩스,화학,20230306
004430,송원산업,화학,20230306
007690,국도화학,화학,20230306
014830,유니드,화학,20230306
101360,에코앤드림,화학,20230306
298000,효성화학,화학,20230306
002840,미원상사,화학,20230306
281740,레이크머티리얼즈,화학,20230306
161000,애경케미칼,화학,20230306
102710,이엔에프테크놀로지,화학,20230306
104830,원익머트리얼즈,화학,20230306
220260,켐트로스,화학,20230306
033500,동성화인텍,화학,20230306
025860,남해화학,화학,20230306
089010,켐트로닉스,화학,20230306
003240,태광산업,화학,20230306
055490,테이팩스,화학,20230306
011500,한농화성,화학,20230306
017890,한국알콜,화학,20230306
002810,삼영무역,화학,20230306
268280,미원에스씨,화학,20230306
239890,피엔에이치테크,화학,20230306
104480,티케이케미칼,화학,20230306
001340,백광산업,화학,20230306
012610,경인양행,화학,20230306
102260,동성케미컬,화학,20230306
251370,와이엠티,화학,20230306
138490,코오롱플라스틱,화학,20230306
357550,석경에이티,화학,20230306
083420,그린케미칼,화학,20230306
025000,KPX케미칼,화학,20230306
003720,삼영화학,화학,20230306
006840,AK홀딩스,화학,20230306
006380,카프로,화학,20230306
290380,대유,화학,20230306
107590,미원홀딩스,화학,20230306
136410,아셈스,화학,20230306
002360,SH에너지화학,화학,20230306
006890,태경케미컬,화학,20230306
294140,레몬,화학,20230306
004090,한국석유,화학,20230306
100250,진양홀딩스,화학,20230306
446070,유니드비티플러스,화학,20230306
023450,동남합성,화학,20230306
042040,케이피엠테크,화학,20230306
120240,대정화금,화학,20230306
003650,미창석유,화학,20230306
036670,KCI,화학,20230306
014190,원익큐브,화학,20230306
036640,HRS,화학,20230306
092230,KPX홀딩스,화학,20230306
003780,진양산업,화학,20230306
007590,동방아그로,화학,20230306
002100,경농,화학,20230306
134380,미원화학,화학,20230306
247660,나노씨엠에스,화학,20230306
222420,쎄노텍,화학,20230306
003830,대한화섬,화학,20230306
045060,오공,화학,20230306
352940,인바이오,화학,20230306
101240,씨큐브,화학,20230306
014440,영보화학,화학,20230306
187790,나노,화학,20230306
097870,효성오앤비,화학,20230306
091970,나노캠텍,화학,20230306
318000,KBG,화학,20230306
001550,조비,화학,20230306
066430,와이오엠,화학,20230306
050760,에스폴리텍,화학,20230306
110020,전진바이오팜,화학,20230306
196700,웹스,화학,20230306
008370,원풍,화학,20230306
286750,나노브릭,화학,20230306
010640,진양폴리,화학,20230306
024070,WISCOM,화학,20230306
115570,스타플렉스,화학,20230306
051630,진양화학,화학,20230306
007770,한일화학,화학,20230306
003080,성보화학,화학,20230306
048830,엔피케이,화학,20230306
332290,누보,화학,20230306
191410,육일씨엔에쓰,화학,20230306
221980,케이디켐,화학,20230306
000760,이화산업,화학,20230306
010130,고려아연,비철금속,20230306
103140,풍산,비철금속,20230306
008730,율촌화학,비철금속,20230306
006110,삼아알미늄,비철금속,20230306
008350,남선알미늄,비철금속,20230306
014820,동원시스템즈,비철금속,20230306
213500,한솔제지,비철금속,20230306
034810,해성산업,비철금속,20230306
078130,국일제지,비철금속,20230306
002310,아세아제지,비철금속,20230306
016590,신대양제지,비철금속,20230306
002030,아세아,비철금속,20230306
005810,풍산홀딩스,비철금속,20230306
001780,알루코,비철금속,20230306
081000,일진다이아,비철금속,20230306
115390,락앤락,비철금속,20230306
004250,NPC,비철금속,20230306
004150,한솔홀딩스,비철금속,20230306
006740,영풍제지,비철금속,20230306
058430,포스코스틸리온,비철금속,20230306
000180,성창기업지주,비철금속,20230306
004560,현대비앤지스틸,비철금속,20230306
018470,조일알미늄,비철금속,20230306
014580,태경비케이,비철금속,20230306
115960,연우,비철금속,20230306
222810,세토피아,비철금속,20230306
009580,무림P&P,비철금속,20230306
009190,대양금속,비철금속,20230306
014160,대영포장,비철금속,20230306
002200,한국수출포장,비철금속,20230306
033310,엠투엔,비철금속,20230306
004540,깨끗한나라,비철금속,20230306
081150,티플랙스,비철금속,20230306
272550,삼양패키징,비철금속,20230306
000480,조선내화,비철금속,20230306
015890,태경산업,비철금속,20230306
251970,펌텍코리아,비철금속,20230306
037370,EG,비철금속,20230306
023600,삼보판지,비철금속,20230306
012800,대창,비철금속,20230306
032560,황금에스티,비철금속,20230306
069460,대호에이엘,비철금속,20230306
024090,디씨엠,비철금속,20230306
011280,태림포장,비철금속,20230306
124500,아이티센,비철금속,20230306
010040,한국내화,비철금속,20230306
025820,이구산업,비철금속,20230306
396300,세아메카닉스,비철금속,20230306
009200,무림페이퍼,비철금속,20230306
016100,리더스코스메틱,비철금속,20230306
009460,한창제지,비철금속,20230306
177830,파버나인,비철금속,20230306
021050,서원,비철금속,20230306
027970,세하,비철금속,20230306
004780,대륙제관,비철금속,20230306
075970,동국알앤에스,비철금속,20230306
009620,삼보산업,비철금속,20230306
128660,피제이메탈,비철금속,20230306
037230,한국팩키지,비철금속,20230306
017650,대림제지,비철금속,20230306
004450,삼화왕관,비철금속,20230306
155660,DSR,비철금속,20230306
037760,쎄니트,비철금속,20230306
008870,금비,비철금속,20230306
079170,한창산업,비철금속,20230306
001560,제일연마,비철금속,20230306
001810,무림SP,비철금속,20230306
058450,일야,비철금속,20230306
340440,세림B&G,비철금속,20230306
001020,페이퍼코리아,비철금속,20230306
002820,SUN&L,비철금속,20230306
060480,국일신동,비철금속,20230306
010420,한솔PNS,비철금속,20230306
002870,신풍,비철금속,20230306
049830,승일,비철금속,20230306
005820,원림,비철금속,20230306
014970,삼륭물산,비철금속,20230306
054410,케이피티유,비철금속,20230306
005490,POSCO홀딩스,철강,20230306
004020,현대제철,철강,20230306
001230,동국제강,철강,20230306
151860,KG ETS,철강,20230306
001430,세아베스틸지주,철강,20230306
016380,KG스틸,철강,20230306
003030,세아제강지주,철강,20230306
004890,동일산업,철강,20230306
009520,포스코엠텍,철강,20230306
005010,휴스틸,철강,20230306
002710,TCC스틸,철강,20230306
001390,KG케미칼,철강,20230306
002240,고려제강,철강,20230306
306200,세아제강,철강,20230306
104700,한국철강,철강,20230306
084010,대한제강,철강,20230306
005160,동국산업,철강,20230306
100130,동국S&C,철강,20230306
139990,아주스틸,철강,20230306
001940,KISCO홀딩스,철강,20230306
