종목코드,종목명,섹터,DT
096770,SK이노베이션,에너지,20240613
009830,한화솔루션,에너지,20240613
267250,HD현대,에너지,20240613
010950,S-Oil,에너지,20240613
078930,GS,에너지,20240613
112610,씨에스윈드,에너지,20240613
006120,SK디스커버리,에너지,20240613
270520,지오릿에너지,에너지,20240613
005090,SGC에너지,에너지,20240613
044490,태웅,에너지,20240613
083650,비에이치아이,에너지,20240613
322000,HD현대에너지솔루션,에너지,20240613
024060,흥구석유,에너지,20240613
126720,수산인더스트리,에너지,20240613
018000,유니슨,에너지,20240613
457550,우진엔텍,에너지,20240613
099220,SDN,에너지,20240613
126880,제이엔케이글로벌,에너지,20240613
294630,서남,에너지,20240613
014530,극동유화,에너지,20240613
282720,금양그린파워,에너지,20240613
137950,제이씨케미칼,에너지,20240613
128820,대성산업,에너지,20240613
046120,오르비텍,에너지,20240613
038870,에코바이오,에너지,20240613
389260,대명에너지,에너지,20240613
032980,바이온,에너지,20240613
000440,중앙에너비스,에너지,20240613
095910,에스에너지,에너지,20240613
060900,DGP,에너지,20240613
043200,파루,에너지,20240613
313760,캐리,에너지,20240613
065420,에스아이리소스,에너지,20240613
051910,LG화학,화학,20240613
086520,에코프로,화학,20240613
003670,포스코퓨처엠,화학,20240613
005070,코스모신소재,화학,20240613
011790,SKC,화학,20240613
011780,금호석유,화학,20240613
011170,롯데케미칼,화학,20240613
001570,금양,화학,20240613
014680,한솔케미칼,화학,20240613
010060,OCI홀딩스,화학,20240613
457190,이수스페셜티케미컬,화학,20240613
121600,나노신소재,화학,20240613
000210,DL,화학,20240613
298050,효성첨단소재,화학,20240613
005420,코스모화학,화학,20240613
004000,롯데정밀화학,화학,20240613
281740,레이크머티리얼즈,화학,20240613
456040,OCI,화학,20240613
120110,코오롱인더,화학,20240613
101360,에코앤드림,화학,20240613
285130,SK케미칼,화학,20240613
006650,대한유화,화학,20240613
069260,TKG휴켐스,화학,20240613
093370,후성,화학,20240613
001340,백광산업,화학,20240613
014830,유니드,화학,20240613
178920,PI첨단소재,화학,20240613
161000,애경케미칼,화학,20240613
005690,파미셀,화학,20240613
089010,켐트로닉스,화학,20240613
000070,삼양홀딩스,화학,20240613
002840,미원상사,화학,20240613
104830,원익머트리얼즈,화학,20240613
007690,국도화학,화학,20240613
033500,동성화인텍,화학,20240613
004430,송원산업,화학,20240613
017860,DS단석,화학,20240613
357550,석경에이티,화학,20240613
002960,한국쉘석유,화학,20240613
005950,이수화학,화학,20240613
003240,태광산업,화학,20240613
025860,남해화학,화학,20240613
011500,한농화성,화학,20240613
298000,효성화학,화학,20240613
002810,삼영무역,화학,20240613
268280,미원에스씨,화학,20240613
220260,켐트로스,화학,20240613
017890,한국알콜,화학,20240613
102260,동성케미컬,화학,20240613
004090,한국석유,화학,20240613
027410,BGF,화학,20240613
003720,삼영,화학,20240613
012610,경인양행,화학,20240613
251370,와이엠티,화학,20240613
138490,코오롱ENP,화학,20240613
027580,상보,화학,20240613
025000,KPX케미칼,화학,20240613
055490,테이팩스,화학,20240613
104480,티케이케미칼,화학,20240613
006890,태경케미컬,화학,20240613
003650,미창석유,화학,20240613
100250,진양홀딩스,화학,20240613
083420,그린케미칼,화학,20240613
006840,AK홀딩스,화학,20240613
107590,미원홀딩스,화학,20240613
120240,대정화금,화학,20240613
134380,미원화학,화학,20240613
042040,케이피엠테크,화학,20240613
023900,풍국주정,화학,20240613
036640,HRS,화학,20240613
092230,KPX홀딩스,화학,20240613
002360,SH에너지화학,화학,20240613
003780,진양산업,화학,20240613
014190,원익큐브,화학,20240613
