종목코드,종목명,섹터,날짜
096770,SK이노베이션,에너지,20221103
010950,S-Oil,에너지,20221103
267250,HD현대,에너지,20221103
078930,GS,에너지,20221103
112610,씨에스윈드,에너지,20221103
006120,SK디스커버리,에너지,20221103
322000,현대에너지솔루션,에너지,20221103
005090,SGC에너지,에너지,20221103
018000,유니슨,에너지,20221103
001390,KG케미칼,에너지,20221103
002960,한국쉘석유,에너지,20221103
126720,수산인더스트리,에너지,20221103
091090,세원이앤씨,에너지,20221103
041590,플래스크,에너지,20221103
126880,제이엔케이히터,에너지,20221103
099220,SDN,에너지,20221103
060900,대한그린파워,에너지,20221103
046120,오르비텍,에너지,20221103
137950,제이씨케미칼,에너지,20221103
044490,태웅,에너지,20221103
012320,경동인베스트,에너지,20221103
003650,미창석유,에너지,20221103
083650,비에이치아이,에너지,20221103
014530,극동유화,에너지,20221103
128820,대성산업,에너지,20221103
093230,이아이디,에너지,20221103
024060,흥구석유,에너지,20221103
095910,에스에너지,에너지,20221103
389260,대명에너지,에너지,20221103
013810,스페코,에너지,20221103
270520,지엔원에너지,에너지,20221103
000440,중앙에너비스,에너지,20221103
038870,에코바이오,에너지,20221103
065420,에스아이리소스,에너지,20221103
043200,파루,에너지,20221103
294630,서남,에너지,20221103
313760,윌링스,에너지,20221103
051910,LG화학,화학,20221103
009830,한화솔루션,화학,20221103
003670,포스코케미칼,화학,20221103
086520,에코프로,화학,20221103
011170,롯데케미칼,화학,20221103
011780,금호석유,화학,20221103
011790,SKC,화학,20221103
010060,OCI,화학,20221103
014680,한솔케미칼,화학,20221103
005070,코스모신소재,화학,20221103
004000,롯데정밀화학,화학,20221103
000210,DL,화학,20221103
285130,SK케미칼,화학,20221103
298050,효성첨단소재,화학,20221103
120110,코오롱인더,화학,20221103
001570,금양,화학,20221103
121600,나노신소재,화학,20221103
383310,에코프로에이치엔,화학,20221103
005420,코스모화학,화학,20221103
093370,후성,화학,20221103
005690,파미셀,화학,20221103
005950,이수화학,화학,20221103
069260,TKG휴켐스,화학,20221103
178920,PI첨단소재,화학,20221103
006650,대한유화,화학,20221103
014830,유니드,화학,20221103
007690,국도화학,화학,20221103
004430,송원산업,화학,20221103
161000,애경케미칼,화학,20221103
101360,이엔드디,화학,20221103
002840,미원상사,화학,20221103
102710,이엔에프테크놀로지,화학,20221103
281740,레이크머티리얼즈,화학,20221103
033500,동성화인텍,화학,20221103
104830,원익머트리얼즈,화학,20221103
298000,효성화학,화학,20221103
025860,남해화학,화학,20221103
003240,태광산업,화학,20221103
220260,켐트로스,화학,20221103
089010,켐트로닉스,화학,20221103
268280,미원에스씨,화학,20221103
055490,테이팩스,화학,20221103
002810,삼영무역,화학,20221103
104480,티케이케미칼,화학,20221103
012610,경인양행,화학,20221103
017890,한국알콜,화학,20221103
102260,동성케미컬,화학,20221103
251370,와이엠티,화학,20221103
138490,코오롱플라스틱,화학,20221103
011500,한농화성,화학,20221103
001340,백광산업,화학,20221103
083420,그린케미칼,화학,20221103
239890,피엔에이치테크,화학,20221103
006380,카프로,화학,20221103
025000,KPX케미칼,화학,20221103
107590,미원홀딩스,화학,20221103
357550,석경에이티,화학,20221103
002360,SH에너지화학,화학,20221103
004090,한국석유,화학,20221103
003720,삼영화학,화학,20221103
023450,동남합성,화학,20221103
136410,아셈스,화학,20221103
290380,대유,화학,20221103
120240,대정화금,화학,20221103
100250,진양홀딩스,화학,20221103
294140,레몬,화학,20221103
042040,케이피엠테크,화학,20221103
006840,AK홀딩스,화학,20221103
003780,진양산업,화학,20221103
247660,나노씨엠에스,화학,20221103
036670,KCI,화학,20221103
006890,태경케미컬,화학,20221103
014190,원익큐브,화학,20221103
036640,HRS,화학,20221103
092230,KPX홀딩스,화학,20221103
007590,동방아그로,화학,20221103
222420,쎄노텍,화학,20221103
134380,미원화학,화학,20221103
101240,씨큐브,화학,20221103
045060,오공,화학,20221103
002100,경농,화학,20221103
352940,인바이오,화학,20221103
003830,대한화섬,화학,20221103
014440,영보화학,화학,20221103
187790,나노,화학,20221103
010640,진양폴리,화학,20221103
097870,효성오앤비,화학,20221103
050760,에스폴리텍,화학,20221103
318000,KBG,화학,20221103
001550,조비,화학,20221103
066430,와이오엠,화학,20221103
110020,전진바이오팜,화학,20221103
051630,진양화학,화학,20221103
007770,한일화학,화학,20221103
008370,원풍,화학,20221103
286750,나노브릭,화학,20221103
196700,웹스,화학,20221103
024070,WISCOM,화학,20221103
115570,스타플렉스,화학,20221103
332290,누보,화학,20221103
048830,엔피케이,화학,20221103
003080,성보화학,화학,20221103
221980,케이디켐,화학,20221103
000760,이화산업,화학,20221103
010130,고려아연,비철금속,20221103
103140,풍산,비철금속,20221103
008730,율촌화학,비철금속,20221103
014820,동원시스템즈,비철금속,20221103
008350,남선알미늄,비철금속,20221103
213500,한솔제지,비철금속,20221103
078130,국일제지,비철금속,20221103
006110,삼아알미늄,비철금속,20221103
002310,아세아제지,비철금속,20221103
016590,신대양제지,비철금속,20221103
034810,해성산업,비철금속,20221103
005810,풍산홀딩스,비철금속,20221103
002030,아세아,비철금속,20221103
115390,락앤락,비철금속,20221103
001780,알루코,비철금속,20221103
009580,무림P&P,비철금속,20221103
081000,일진다이아,비철금속,20221103
018470,조일알미늄,비철금속,20221103
004150,한솔홀딩스,비철금속,20221103
033310,엠투엔,비철금속,20221103
004560,현대비앤지스틸,비철금속,20221103
000180,성창기업지주,비철금속,20221103
014580,태경비케이,비철금속,20221103
009190,대양금속,비철금속,20221103
081150,티플랙스,비철금속,20221103
014160,대영포장,비철금속,20221103
058430,포스코스틸리온,비철금속,20221103
004540,깨끗한나라,비철금속,20221103
015890,태경산업,비철금속,20221103
251970,펌텍코리아,비철금속,20221103
000480,조선내화,비철금속,20221103
272550,삼양패키징,비철금속,20221103
006740,영풍제지,비철금속,20221103
115960,연우,비철금속,20221103
012800,대창,비철금속,20221103
023600,삼보판지,비철금속,20221103
032560,황금에스티,비철금속,20221103
002200,한국수출포장,비철금속,20221103
024090,디씨엠,비철금속,20221103
069460,대호에이엘,비철금속,20221103
124500,아이티센,비철금속,20221103
010040,한국내화,비철금속,20221103
011280,태림포장,비철금속,20221103
009460,한창제지,비철금속,20221103
025820,이구산업,비철금속,20221103
396300,세아메카닉스,비철금속,20221103
037370,EG,비철금속,20221103
009200,무림페이퍼,비철금속,20221103
021050,서원,비철금속,20221103
009620,삼보산업,비철금속,20221103
075970,동국알앤에스,비철금속,20221103
177830,파버나인,비철금속,20221103
027970,세하,비철금속,20221103
037230,한국팩키지,비철금속,20221103
004780,대륙제관,비철금속,20221103
128660,피제이메탈,비철금속,20221103
037760,쎄니트,비철금속,20221103
017650,대림제지,비철금속,20221103
058450,일야,비철금속,20221103
004450,삼화왕관,비철금속,20221103
079170,한창산업,비철금속,20221103
002820,SUN&L,비철금속,20221103
001810,무림SP,비철금속,20221103
155660,DSR,비철금속,20221103
010420,한솔PNS,비철금속,20221103
340440,세림B&G,비철금속,20221103
002870,신풍,비철금속,20221103
001020,페이퍼코리아,비철금속,20221103
001560,제일연마,비철금속,20221103
060480,국일신동,비철금속,20221103
049830,승일,비철금속,20221103
014970,삼륭물산,비철금속,20221103
008870,금비,비철금속,20221103
054410,케이피티유,비철금속,20221103
005820,원림,비철금속,20221103
005490,POSCO홀딩스,철강,20221103
004020,현대제철,철강,20221103
001230,동국제강,철강,20221103
