종목코드,종목명,산업,섹터,날짜
096770,SK이노베이션,에너지,에너지,20221027
010950,S-Oil,에너지,에너지,20221027
267250,HD현대,에너지,에너지,20221027
078930,GS,에너지,에너지,20221027
112610,씨에스윈드,에너지,에너지,20221027
006120,SK디스커버리,에너지,에너지,20221027
322000,현대에너지솔루션,에너지,에너지,20221027
005090,SGC에너지,에너지,에너지,20221027
018000,유니슨,에너지,에너지,20221027
001390,KG케미칼,에너지,에너지,20221027
002960,한국쉘석유,에너지,에너지,20221027
091090,세원이앤씨,에너지,에너지,20221027
126720,수산인더스트리,에너지,에너지,20221027
041590,플래스크,에너지,에너지,20221027
126880,제이엔케이히터,에너지,에너지,20221027
060900,대한그린파워,에너지,에너지,20221027
099220,SDN,에너지,에너지,20221027
046120,오르비텍,에너지,에너지,20221027
044490,태웅,에너지,에너지,20221027
137950,제이씨케미칼,에너지,에너지,20221027
012320,경동인베스트,에너지,에너지,20221027
003650,미창석유,에너지,에너지,20221027
128820,대성산업,에너지,에너지,20221027
014530,극동유화,에너지,에너지,20221027
093230,이아이디,에너지,에너지,20221027
083650,비에이치아이,에너지,에너지,20221027
095910,에스에너지,에너지,에너지,20221027
389260,대명에너지,에너지,에너지,20221027
013810,스페코,에너지,에너지,20221027
024060,흥구석유,에너지,에너지,20221027
270520,지엔원에너지,에너지,에너지,20221027
038870,에코바이오,에너지,에너지,20221027
065420,에스아이리소스,에너지,에너지,20221027
000440,중앙에너비스,에너지,에너지,20221027
043200,파루,에너지,에너지,20221027
294630,서남,에너지,에너지,20221027
313760,윌링스,에너지,에너지,20221027
051910,LG화학,소재,소재,20221027
005490,POSCO홀딩스,소재,소재,20221027
009830,한화솔루션,소재,소재,20221027
010130,고려아연,소재,소재,20221027
003670,포스코케미칼,소재,소재,20221027
086520,에코프로,소재,소재,20221027
004020,현대제철,소재,소재,20221027
011170,롯데케미칼,소재,소재,20221027
011780,금호석유,소재,소재,20221027
011790,SKC,소재,소재,20221027
010060,OCI,소재,소재,20221027
014680,한솔케미칼,소재,소재,20221027
005070,코스모신소재,소재,소재,20221027
000210,DL,소재,소재,20221027
285130,SK케미칼,소재,소재,20221027
004000,롯데정밀화학,소재,소재,20221027
001230,동국제강,소재,소재,20221027
298050,효성첨단소재,소재,소재,20221027
120110,코오롱인더,소재,소재,20221027
383310,에코프로에이치엔,소재,소재,20221027
121600,나노신소재,소재,소재,20221027
093370,후성,소재,소재,20221027
005690,파미셀,소재,소재,20221027
005420,코스모화학,소재,소재,20221027
103140,풍산,소재,소재,20221027
001570,금양,소재,소재,20221027
069260,TKG휴켐스,소재,소재,20221027
178920,PI첨단소재,소재,소재,20221027
006650,대한유화,소재,소재,20221027
014830,유니드,소재,소재,20221027
005950,이수화학,소재,소재,20221027
007690,국도화학,소재,소재,20221027
008730,율촌화학,소재,소재,20221027
004430,송원산업,소재,소재,20221027
161000,애경케미칼,소재,소재,20221027
014820,동원시스템즈,소재,소재,20221027
002840,미원상사,소재,소재,20221027
213500,한솔제지,소재,소재,20221027
101360,이엔드디,소재,소재,20221027
003030,세아제강지주,소재,소재,20221027
016380,KG스틸,소재,소재,20221027
008350,남선알미늄,소재,소재,20221027
281740,레이크머티리얼즈,소재,소재,20221027
102710,이엔에프테크놀로지,소재,소재,20221027
078130,국일제지,소재,소재,20221027
298000,효성화학,소재,소재,20221027
104830,원익머트리얼즈,소재,소재,20221027
001430,세아베스틸지주,소재,소재,20221027
004890,동일산업,소재,소재,20221027
033500,동성화인텍,소재,소재,20221027
025860,남해화학,소재,소재,20221027
002310,아세아제지,소재,소재,20221027
003240,태광산업,소재,소재,20221027
306200,세아제강,소재,소재,20221027
151860,KG ETS,소재,소재,20221027
016590,신대양제지,소재,소재,20221027
220260,켐트로스,소재,소재,20221027
268280,미원에스씨,소재,소재,20221027
089010,켐트로닉스,소재,소재,20221027
005010,휴스틸,소재,소재,20221027
009520,포스코엠텍,소재,소재,20221027
100130,동국S&C,소재,소재,20221027
055490,테이팩스,소재,소재,20221027
006110,삼아알미늄,소재,소재,20221027
034810,해성산업,소재,소재,20221027
084010,대한제강,소재,소재,20221027
002240,고려제강,소재,소재,20221027
104480,티케이케미칼,소재,소재,20221027
002810,삼영무역,소재,소재,20221027
012610,경인양행,소재,소재,20221027
102260,동성케미컬,소재,소재,20221027
017890,한국알콜,소재,소재,20221027
139990,아주스틸,소재,소재,20221027
251370,와이엠티,소재,소재,20221027
104700,한국철강,소재,소재,20221027
005810,풍산홀딩스,소재,소재,20221027
002710,TCC스틸,소재,소재,20221027
002030,아세아,소재,소재,20221027
005160,동국산업,소재,소재,20221027
138490,코오롱플라스틱,소재,소재,20221027
001780,알루코,소재,소재,20221027
115390,락앤락,소재,소재,20221027
001340,백광산업,소재,소재,20221027
011500,한농화성,소재,소재,20221027
018470,조일알미늄,소재,소재,20221027
081000,일진다이아,소재,소재,20221027
033310,엠투엔,소재,소재,20221027
008970,동양철관,소재,소재,20221027
004150,한솔홀딩스,소재,소재,20221027
009580,무림P&P,소재,소재,20221027
004560,현대비앤지스틸,소재,소재,20221027
009190,대양금속,소재,소재,20221027
000180,성창기업지주,소재,소재,20221027
006380,카프로,소재,소재,20221027
025000,KPX케미칼,소재,소재,20221027
107590,미원홀딩스,소재,소재,20221027
239890,피엔에이치테크,소재,소재,20221027
001940,KISCO홀딩스,소재,소재,20221027
083420,그린케미칼,소재,소재,20221027
014580,태경비케이,소재,소재,20221027
014160,대영포장,소재,소재,20221027
000970,한국주철관,소재,소재,20221027
357550,석경에이티,소재,소재,20221027
081150,티플랙스,소재,소재,20221027
058430,포스코스틸리온,소재,소재,20221027
002360,SH에너지화학,소재,소재,20221027
004540,깨끗한나라,소재,소재,20221027
136410,아셈스,소재,소재,20221027
251970,펌텍코리아,소재,소재,20221027
023450,동남합성,소재,소재,20221027
015890,태경산업,소재,소재,20221027
000480,조선내화,소재,소재,20221027
120240,대정화금,소재,소재,20221027
272550,삼양패키징,소재,소재,20221027
012800,대창,소재,소재,20221027
004090,한국석유,소재,소재,20221027
003720,삼영화학,소재,소재,20221027
115960,연우,소재,소재,20221027
290380,대유,소재,소재,20221027
001080,만호제강,소재,소재,20221027
023600,삼보판지,소재,소재,20221027
100250,진양홀딩스,소재,소재,20221027
069460,대호에이엘,소재,소재,20221027
032560,황금에스티,소재,소재,20221027
024090,디씨엠,소재,소재,20221027
025550,한국선재,소재,소재,20221027
002200,한국수출포장,소재,소재,20221027
