종목코드,종목명,산업,섹터,날짜
096770,SK이노베이션,에너지,에너지,20220908
010950,S-Oil,에너지,에너지,20220908
267250,HD현대,에너지,에너지,20220908
078930,GS,에너지,에너지,20220908
112610,씨에스윈드,에너지,에너지,20220908
322000,현대에너지솔루션,에너지,에너지,20220908
006120,SK디스커버리,에너지,에너지,20220908
005090,SGC에너지,에너지,에너지,20220908
018000,유니슨,에너지,에너지,20220908
001390,KG케미칼,에너지,에너지,20220908
002960,한국쉘석유,에너지,에너지,20220908
126720,수산인더스트리,에너지,에너지,20220908
041590,플래스크,에너지,에너지,20220908
099220,SDN,에너지,에너지,20220908
046120,오르비텍,에너지,에너지,20220908
126880,제이엔케이히터,에너지,에너지,20220908
060900,대한그린파워,에너지,에너지,20220908
083650,비에이치아이,에너지,에너지,20220908
044490,태웅,에너지,에너지,20220908
095910,에스에너지,에너지,에너지,20220908
137950,제이씨케미칼,에너지,에너지,20220908
091090,세원이앤씨,에너지,에너지,20220908
389260,대명에너지,에너지,에너지,20220908
093230,이아이디,에너지,에너지,20220908
128820,대성산업,에너지,에너지,20220908
003650,미창석유,에너지,에너지,20220908
014530,극동유화,에너지,에너지,20220908
024060,흥구석유,에너지,에너지,20220908
013810,스페코,에너지,에너지,20220908
270520,지엔원에너지,에너지,에너지,20220908
038870,에코바이오,에너지,에너지,20220908
000440,중앙에너비스,에너지,에너지,20220908
294630,서남,에너지,에너지,20220908
012320,경동인베스트,에너지,에너지,20220908
065420,에스아이리소스,에너지,에너지,20220908
043200,파루,에너지,에너지,20220908
313760,윌링스,에너지,에너지,20220908
051910,LG화학,소재,소재,20220908
005490,POSCO홀딩스,소재,소재,20220908
009830,한화솔루션,소재,소재,20220908
010130,고려아연,소재,소재,20220908
003670,포스코케미칼,소재,소재,20220908
011170,롯데케미칼,소재,소재,20220908
004020,현대제철,소재,소재,20220908
086520,에코프로,소재,소재,20220908
011790,SKC,소재,소재,20220908
011780,금호석유,소재,소재,20220908
010060,OCI,소재,소재,20220908
014680,한솔케미칼,소재,소재,20220908
005070,코스모신소재,소재,소재,20220908
004000,롯데정밀화학,소재,소재,20220908
285130,SK케미칼,소재,소재,20220908
000210,DL,소재,소재,20220908
298050,효성첨단소재,소재,소재,20220908
120110,코오롱인더,소재,소재,20220908
001230,동국제강,소재,소재,20220908
093370,후성,소재,소재,20220908
383310,에코프로에이치엔,소재,소재,20220908
121600,나노신소재,소재,소재,20220908
005690,파미셀,소재,소재,20220908
005420,코스모화학,소재,소재,20220908
005950,이수화학,소재,소재,20220908
103140,풍산,소재,소재,20220908
014830,유니드,소재,소재,20220908
069260,TKG휴켐스,소재,소재,20220908
178920,PI첨단소재,소재,소재,20220908
001570,금양,소재,소재,20220908
006650,대한유화,소재,소재,20220908
007690,국도화학,소재,소재,20220908
298000,효성화학,소재,소재,20220908
004430,송원산업,소재,소재,20220908
016380,KG스틸,소재,소재,20220908
008730,율촌화학,소재,소재,20220908
161000,애경케미칼,소재,소재,20220908
014820,동원시스템즈,소재,소재,20220908
003030,세아제강지주,소재,소재,20220908
213500,한솔제지,소재,소재,20220908
281740,레이크머티리얼즈,소재,소재,20220908
102710,이엔에프테크놀로지,소재,소재,20220908
101360,이엔드디,소재,소재,20220908
002840,미원상사,소재,소재,20220908
001430,세아베스틸지주,소재,소재,20220908
008350,남선알미늄,소재,소재,20220908
151860,KG ETS,소재,소재,20220908
033500,동성화인텍,소재,소재,20220908
078130,국일제지,소재,소재,20220908
220260,켐트로스,소재,소재,20220908
025860,남해화학,소재,소재,20220908
004890,동일산업,소재,소재,20220908
306200,세아제강,소재,소재,20220908
104830,원익머트리얼즈,소재,소재,20220908
100130,동국S&C,소재,소재,20220908
003240,태광산업,소재,소재,20220908
089010,켐트로닉스,소재,소재,20220908
055490,테이팩스,소재,소재,20220908
005010,휴스틸,소재,소재,20220908
002310,아세아제지,소재,소재,20220908
268280,미원에스씨,소재,소재,20220908
104480,티케이케미칼,소재,소재,20220908
016590,신대양제지,소재,소재,20220908
006110,삼아알미늄,소재,소재,20220908
084010,대한제강,소재,소재,20220908
034810,해성산업,소재,소재,20220908
033310,엠투엔,소재,소재,20220908
012610,경인양행,소재,소재,20220908
139990,아주스틸,소재,소재,20220908
002240,고려제강,소재,소재,20220908
104700,한국철강,소재,소재,20220908
081000,일진다이아,소재,소재,20220908
009520,포스코엠텍,소재,소재,20220908
002810,삼영무역,소재,소재,20220908
002710,TCC스틸,소재,소재,20220908
115390,락앤락,소재,소재,20220908
251370,와이엠티,소재,소재,20220908
138490,코오롱플라스틱,소재,소재,20220908
005810,풍산홀딩스,소재,소재,20220908
102260,동성케미컬,소재,소재,20220908
001780,알루코,소재,소재,20220908
011500,한농화성,소재,소재,20220908
017890,한국알콜,소재,소재,20220908
002030,아세아,소재,소재,20220908
004560,현대비앤지스틸,소재,소재,20220908
008970,동양철관,소재,소재,20220908
009580,무림P&P,소재,소재,20220908
004150,한솔홀딩스,소재,소재,20220908
001340,백광산업,소재,소재,20220908
018470,조일알미늄,소재,소재,20220908
005160,동국산업,소재,소재,20220908
006380,카프로,소재,소재,20220908
000180,성창기업지주,소재,소재,20220908
239890,피엔에이치테크,소재,소재,20220908
058430,포스코스틸리온,소재,소재,20220908
107590,미원홀딩스,소재,소재,20220908
002360,SH에너지화학,소재,소재,20220908
009190,대양금속,소재,소재,20220908
000970,한국주철관,소재,소재,20220908
001940,KISCO홀딩스,소재,소재,20220908
294140,레몬,소재,소재,20220908
025000,KPX케미칼,소재,소재,20220908
014160,대영포장,소재,소재,20220908
003720,삼영화학,소재,소재,20220908
069460,대호에이엘,소재,소재,20220908
290380,대유,소재,소재,20220908
004540,깨끗한나라,소재,소재,20220908
115960,연우,소재,소재,20220908
272550,삼양패키징,소재,소재,20220908
081150,티플랙스,소재,소재,20220908
015890,태경산업,소재,소재,20220908
136410,아셈스,소재,소재,20220908
251970,펌텍코리아,소재,소재,20220908
023450,동남합성,소재,소재,20220908
357550,석경에이티,소재,소재,20220908
024090,디씨엠,소재,소재,20220908
120240,대정화금,소재,소재,20220908
004090,한국석유,소재,소재,20220908
014580,태경비케이,소재,소재,20220908
006840,AK홀딩스,소재,소재,20220908
100250,진양홀딩스,소재,소재,20220908
000480,조선내화,소재,소재,20220908
012800,대창,소재,소재,20220908
083420,그린케미칼,소재,소재,20220908
023600,삼보판지,소재,소재,20220908
025550,한국선재,소재,소재,20220908
396300,세아메카닉스,소재,소재,20220908
247660,나노씨엠에스,소재,소재,20220908
011280,태림포장,소재,소재,20220908
042040,케이피엠테크,소재,소재,20220908
032560,황금에스티,소재,소재,20220908
007280,한국특강,소재,소재,20220908
037370,EG,소재,소재,20220908
010040,한국내화,소재,소재,20220908
002200,한국수출포장,소재,소재,20220908
014190,원익큐브,소재,소재,20220908
006890,태경케미컬,소재,소재,20220908
124500,아이티센,소재,소재,20220908
009460,한창제지,소재,소재,20220908
008260,NI스틸,소재,소재,20220908
023440,제이스코홀딩스,소재,소재,20220908
001080,만호제강,소재,소재,20220908
036640,HRS,소재,소재,20220908
036670,KCI,소재,소재,20220908
019440,세아특수강,소재,소재,20220908
025820,이구산업,소재,소재,20220908
092230,KPX홀딩스,소재,소재,20220908
120030,조선선재,소재,소재,20220908
003780,진양산업,소재,소재,20220908
009200,무림페이퍼,소재,소재,20220908
039240,경남스틸,소재,소재,20220908
053260,금강철강,소재,소재,20220908
007590,동방아그로,소재,소재,20220908
134380,미원화학,소재,소재,20220908
008420,문배철강,소재,소재,20220908
058650,세아홀딩스,소재,소재,20220908
006740,영풍제지,소재,소재,20220908
222420,쎄노텍,소재,소재,20220908
002100,경농,소재,소재,20220908
352940,인바이오,소재,소재,20220908
045060,오공,소재,소재,20220908
009620,삼보산업,소재,소재,20220908
002220,한일철강,소재,소재,20220908
101240,씨큐브,소재,소재,20220908
071090,하이스틸,소재,소재,20220908
021050,서원,소재,소재,20220908
133820,화인베스틸,소재,소재,20220908
014440,영보화학,소재,소재,20220908
027970,세하,소재,소재,20220908
177830,파버나인,소재,소재,20220908
097870,효성오앤비,소재,소재,20220908
187790,나노,소재,소재,20220908
003830,대한화섬,소재,소재,20220908
128660,피제이메탈,소재,소재,20220908
004780,대륙제관,소재,소재,20220908
026940,부국철강,소재,소재,20220908
007770,한일화학,소재,소재,20220908
017480,삼현철강,소재,소재,20220908
048470,대동스틸,소재,소재,20220908
037230,한국팩키지,소재,소재,20220908
050760,에스폴리텍,소재,소재,20220908
001550,조비,소재,소재,20220908
286750,나노브릭,소재,소재,20220908
075970,동국알앤에스,소재,소재,20220908
